study_id,model_type,dataset,dp_type,epsilon,worker_id,experiment_idx,best_cv_score,final_test_score,best_params,model_path,timestamp,status
naive_bayes_adult_none,naive_bayes,adult,none,,0,0,0.7615060266508966,0.762962962962963,"{""var_smoothing"": 0.024874708467886343}",experiment_results/models/naive_bayes/adult_none_eps_None.pkl,2025-06-30 04:46:53.595268,completed
naive_bayes_adult_data,naive_bayes,adult,data,0.1,0,0,0.5027504953921935,0.5074626865671642,"{""var_smoothing"": 2.5706035661175924e-05}",experiment_results/models/naive_bayes/adult_data_eps_0.1.pkl,2025-06-30 04:46:55.392791,completed
naive_bayes_adult_data,naive_bayes,adult,data,0.5,0,0,0.5069243049896796,0.5087893864013266,"{""var_smoothing"": 0.09540711765339822}",experiment_results/models/naive_bayes/adult_data_eps_0.5.pkl,2025-06-30 04:46:57.264335,completed
naive_bayes_adult_data,naive_bayes,adult,data,1.0,0,0,0.5137518275167967,0.5136539524599226,"{""var_smoothing"": 0.08293771511235282}",experiment_results/models/naive_bayes/adult_data_eps_1.0.pkl,2025-06-30 04:46:59.339223,completed
naive_bayes_adult_data,naive_bayes,adult,data,10.0,0,0,0.6295712751607088,0.6296296296296297,"{""var_smoothing"": 0.0653813075286485}",experiment_results/models/naive_bayes/adult_data_eps_10.0.pkl,2025-06-30 04:47:01.245654,completed
naive_bayes_adult_data,naive_bayes,adult,data,50.0,0,0,0.7470217177951142,0.7487009397457158,"{""var_smoothing"": 0.006830346849054007}",experiment_results/models/naive_bayes/adult_data_eps_50.0.pkl,2025-06-30 04:47:03.147055,completed
naive_bayes_adult_data,naive_bayes,adult,data,100.0,0,0,0.7545953256064758,0.7663902708678828,"{""var_smoothing"": 0.024874708467886343}",experiment_results/models/naive_bayes/adult_data_eps_100.0.pkl,2025-06-30 04:47:05.231236,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,0.1,0,0,0.7486244657844159,0.7046987285793256,{},experiment_results/models/naive_bayes/adult_algorithm_eps_0.1.pkl,2025-06-30 04:47:19.514681,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,0.5,0,0,0.7354672540698182,0.6960751796572692,{},experiment_results/models/naive_bayes/adult_algorithm_eps_0.5.pkl,2025-06-30 04:47:33.551548,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,1.0,0,0,0.7333108740257861,0.7245992260917634,{},experiment_results/models/naive_bayes/adult_algorithm_eps_1.0.pkl,2025-06-30 04:47:47.622540,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,10.0,0,0,0.7804406249486652,0.7704809286898839,{},experiment_results/models/naive_bayes/adult_algorithm_eps_10.0.pkl,2025-06-30 04:48:01.223023,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,50.0,0,0,0.7521897843959959,0.6402432283029298,{},experiment_results/models/naive_bayes/adult_algorithm_eps_50.0.pkl,2025-06-30 04:48:13.979231,completed
naive_bayes_adult_algorithm,naive_bayes,adult,algorithm,100.0,0,0,0.7019099771051829,0.5697070204532891,{},experiment_results/models/naive_bayes/adult_algorithm_eps_100.0.pkl,2025-06-30 04:48:26.466676,completed
attack_naive_bayes_adult_data_eps_0.1_with_naive_bayes,naive_bayes,adult,data,0.1,,,0.20206249999999998,0.19325,"{""var_smoothing"": 0.0002358594058414263}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_0.1_with_naive_bayes.pkl,2025-06-30 04:48:28.610230,completed
attack_naive_bayes_adult_data_eps_0.1_with_logistic_regression,logistic_regression,adult,data,0.1,,,0.20212499999999997,0.20175,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_0.1_with_logistic_regression.pkl,2025-06-30 04:49:44.480777,completed
attack_naive_bayes_adult_data_eps_0.1_with_random_forest,random_forest,adult,data,0.1,,,0.2048125,0.195,"{""n_estimators"": 151, ""max_depth"": 12, ""min_samples_split"": 13, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""criterion"": ""entropy""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_0.1_with_random_forest.pkl,2025-06-30 04:50:10.627440,completed
attack_naive_bayes_adult_algorithm_eps_100.0_with_naive_bayes,naive_bayes,adult,algorithm,100.0,,,0.21425,0.21875,"{""var_smoothing"": 0.09540711765339822}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_100.0_with_naive_bayes.pkl,2025-06-30 04:50:11.457643,completed
attack_naive_bayes_adult_algorithm_eps_100.0_with_logistic_regression,logistic_regression,adult,algorithm,100.0,,,0.2245,0.21675,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 3.2731062354483087, ""max_iter"": 470}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_100.0_with_logistic_regression.pkl,2025-06-30 04:51:41.106080,completed
attack_naive_bayes_adult_algorithm_eps_100.0_with_random_forest,random_forest,adult,algorithm,100.0,,,0.220375,0.221,"{""n_estimators"": 260, ""max_depth"": 23, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""criterion"": ""entropy""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_100.0_with_random_forest.pkl,2025-06-30 04:52:11.354160,completed
attack_naive_bayes_adult_algorithm_eps_1.0_with_naive_bayes,naive_bayes,adult,algorithm,1.0,,,0.24906250000000002,0.26225,"{""var_smoothing"": 0.05319049072944618}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_1.0_with_naive_bayes.pkl,2025-06-30 04:52:12.177792,completed
attack_naive_bayes_adult_algorithm_eps_1.0_with_logistic_regression,logistic_regression,adult,algorithm,1.0,,,0.2535625,0.2665,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 18.192033479715636, ""max_iter"": 586}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_1.0_with_logistic_regression.pkl,2025-06-30 04:53:47.965388,completed
attack_naive_bayes_adult_algorithm_eps_1.0_with_random_forest,random_forest,adult,algorithm,1.0,,,0.253125,0.27175,"{""n_estimators"": 307, ""max_depth"": 13, ""min_samples_split"": 15, ""min_samples_leaf"": 7, ""max_features"": ""sqrt"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_1.0_with_random_forest.pkl,2025-06-30 04:54:19.706195,completed
attack_naive_bayes_adult_output_eps_100.0_with_naive_bayes,naive_bayes,adult,output,100.0,,,0.22781250000000003,0.228,"{""var_smoothing"": 0.09540711765339822}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_100.0_with_naive_bayes.pkl,2025-06-30 04:54:20.531062,completed
attack_naive_bayes_adult_output_eps_100.0_with_logistic_regression,logistic_regression,adult,output,100.0,,,0.225875,0.2195,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 0.017679748286442643, ""max_iter"": 1177}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_100.0_with_logistic_regression.pkl,2025-06-30 04:55:05.364796,completed
attack_naive_bayes_adult_output_eps_100.0_with_random_forest,random_forest,adult,output,100.0,,,0.230125,0.22425,"{""n_estimators"": 282, ""max_depth"": 11, ""min_samples_split"": 17, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_100.0_with_random_forest.pkl,2025-06-30 04:55:32.578837,completed
attack_naive_bayes_adult_output_eps_0.1_with_naive_bayes,naive_bayes,adult,output,0.1,,,0.202,0.19375,"{""var_smoothing"": 2.6168664745814085e-06}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_0.1_with_naive_bayes.pkl,2025-06-30 04:55:33.410931,completed
attack_naive_bayes_adult_output_eps_0.1_with_logistic_regression,logistic_regression,adult,output,0.1,,,0.20212499999999997,0.202,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_0.1_with_logistic_regression.pkl,2025-06-30 04:56:48.613131,completed
attack_naive_bayes_adult_output_eps_0.1_with_random_forest,random_forest,adult,output,0.1,,,0.205625,0.20125,"{""n_estimators"": 81, ""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 7, ""max_features"": ""sqrt"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_0.1_with_random_forest.pkl,2025-06-30 04:57:13.255239,completed
attack_naive_bayes_adult_algorithm_eps_0.5_with_naive_bayes,naive_bayes,adult,algorithm,0.5,,,0.242125,0.237,"{""var_smoothing"": 0.09540711765339822}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_0.5_with_naive_bayes.pkl,2025-06-30 04:57:14.088124,completed
attack_naive_bayes_adult_algorithm_eps_0.5_with_logistic_regression,logistic_regression,adult,algorithm,0.5,,,0.2440625,0.23775,"{""solver"": ""liblinear"", ""penalty"": ""l2"", ""C"": 0.003697114486625516, ""max_iter"": 281}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_0.5_with_logistic_regression.pkl,2025-06-30 04:57:43.948409,completed
attack_naive_bayes_adult_algorithm_eps_0.5_with_random_forest,random_forest,adult,algorithm,0.5,,,0.2481875,0.23875,"{""n_estimators"": 141, ""max_depth"": 17, ""min_samples_split"": 12, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""criterion"": ""entropy""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_0.5_with_random_forest.pkl,2025-06-30 04:58:14.554363,completed
attack_naive_bayes_adult_data_eps_10.0_with_naive_bayes,naive_bayes,adult,data,10.0,,,0.20274999999999999,0.199,"{""var_smoothing"": 0.0653813075286485}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_10.0_with_naive_bayes.pkl,2025-06-30 04:58:15.415252,completed
attack_naive_bayes_adult_data_eps_10.0_with_logistic_regression,logistic_regression,adult,data,10.0,,,0.20212499999999997,0.20175,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 0.0017699302940633358, ""max_iter"": 304}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_10.0_with_logistic_regression.pkl,2025-06-30 04:59:31.363676,completed
